incident_id,timestamp,site_id,reporter_role,narrative_text,category,severity,cyber_nexus,cyber_implication,nist_csf_function,pattern_flag,_outcome,_location,_confidence
INC-000290,2026-01-11T02:43:00,SITE-C,supervisor,A slip-and-fall was reported in the server room at 02:43; first aid rendered.,PR-04,P3,none,No cyber-nexus (safety event),N/A,False,observation,server_room,1.0
INC-000607,2026-01-11T09:35:00,SITE-D,guard,Visitor at the main gate at 09:35 declined to provide identification and had no record of appointment.,VP-01,P2,moderate,Unverified identity / potential pretext,Identify,True,attempt,main_gate,1.0
INC-000043,2026-01-11T11:13:00,SITE-G,guard,"At 11:13, a trespasser was noted crossing into the grounds at the parking lot.",PR-03,P4,low,Perimeter integrity (low cyber-nexus),N/A,False,observation,parking_lot,1.0
INC-000597,2026-01-11T18:50:00,SITE-A,account_manager,Graffiti was found on the exterior wall near the it office at 18:50.,PR-02,P3,none,No cyber-nexus,N/A,False,observation,it_office,1.0
INC-000142,2026-01-11T23:50:00,SITE-E,supervisor,"At 23:50, minor vandalism was noted at the server room.",PR-02,P3,none,No cyber-nexus,N/A,False,observation,server_room,1.0
INC-000201,2026-01-11T23:55:00,SITE-D,account_manager,Subject at server room at 23:55 attempted to talk past the officer using claimed authority and time pressure.,VP-03,P1,high,Front-line pretexting leading to access or info disclosure,Protect,False,attempt,server_room,1.0
INC-000489,2026-01-12T00:47:00,SITE-E,account_manager,"At 00:47, a trespasser was noted crossing into the grounds at the courtyard.",PR-03,P4,low,Perimeter integrity (low cyber-nexus),N/A,False,observation,courtyard,1.0
INC-000603,2026-01-12T07:54:00,SITE-B,guard,At 07:54 the cafeteria gate latch appeared forced and the door was standing open.,AC-02,P1,high,Physical access path bypassing controls,Protect,True,success,cafeteria,1.0
INC-000233,2026-01-12T18:30:00,SITE-F,account_manager,"At 18:30, minor vandalism was noted at the library.",PR-02,P4,none,No cyber-nexus,N/A,False,observation,library,1.0
INC-000025,2026-01-12T21:41:00,SITE-G,guard,"At 21:41, a fire alarm activated in the administration office; area checked and cleared.",PR-04,P2,none,No cyber-nexus (safety event),N/A,True,observation,administration_office,1.0
INC-000412,2026-01-13T04:48:00,SITE-E,guard,"At 04:48, a trespasser was noted crossing into the grounds at the main gate.",PR-03,P4,low,Perimeter integrity (low cyber-nexus),N/A,False,observation,main_gate,1.0
INC-000392,2026-01-13T07:38:00,SITE-A,supervisor,"At 07:38, a suspected theft was reported in the classroom building.",PR-01,P4,low,Minimal cyber-nexus (asset loss),N/A,False,observation,classroom_building,1.0
INC-000018,2026-01-13T07:56:00,SITE-B,supervisor,"Power fluctuation reported in the server room at 07:56, affecting equipment.",IN-02,P2,moderate,Availability risk to dependent systems,Protect,False,observation,server_room,1.0
INC-000258,2026-01-13T14:08:00,SITE-G,supervisor,A slip-and-fall was reported in the rear entrance at 14:08; first aid rendered.,PR-04,P3,none,No cyber-nexus (safety event),N/A,True,observation,rear_entrance,1.0
INC-000032,2026-01-13T16:05:00,SITE-B,guard,"Individual observed in the records room at 16:05, well outside authorized hours.",AC-05,P2,moderate,Anomalous presence outside authorized hours,Detect,False,observation,records_room,1.0
INC-000366,2026-01-14T14:55:00,SITE-D,guard,Camera covering the dormitory entrance was found repositioned away from the entry at 14:55.,SV-01,P3,high,Defeating detection to enable later intrusion,Detect,False,observation,dormitory_entrance,1.0
INC-000577,2026-01-14T15:35:00,SITE-A,guard,An item was reported missing from the main lobby at 15:35.,PR-01,P4,low,Minimal cyber-nexus (asset loss),N/A,False,observation,main_lobby,1.0
INC-000604,2026-01-14T16:34:00,SITE-B,guard,Found the administration office door propped open with a wedge at 16:34; no personnel present.,AC-02,P1,high,Physical access path bypassing controls,Protect,True,success,administration_office,1.0
INC-000260,2026-01-14T17:03:00,SITE-F,guard,"At 17:03, a trespasser was noted crossing into the grounds at the main gate.",PR-03,P3,low,Perimeter integrity (low cyber-nexus),N/A,True,observation,main_gate,1.0
INC-000138,2026-01-14T17:13:00,SITE-B,guard,"At 17:13, a subject was recording the courtyard entry layout on a phone.",DV-03,P4,moderate,Reconnaissance / information gathering,Detect,False,observation,courtyard,1.0
INC-000132,2026-01-14T20:52:00,SITE-F,guard,"At 20:52, documents marked sensitive were found exposed in the records room.",IF-01,P2,moderate,Sensitive data / PII exposure,Protect,False,observation,records_room,1.0
INC-000517,2026-01-15T00:54:00,SITE-F,guard,"At 00:54, a suspected theft was reported in the rear entrance.",PR-01,P4,low,Minimal cyber-nexus (asset loss),N/A,False,observation,rear_entrance,1.0
INC-000057,2026-01-15T14:26:00,SITE-E,account_manager,A slip-and-fall was reported in the server room at 14:26; first aid rendered.,PR-04,P3,none,No cyber-nexus (safety event),N/A,False,observation,server_room,1.0
INC-000027,2026-01-15T14:51:00,SITE-G,guard,Graffiti was found on the exterior wall near the records room at 14:51.,PR-02,P2,none,No cyber-nexus,N/A,True,observation,records_room,1.0
INC-000605,2026-01-15T15:09:00,SITE-D,supervisor,"At 15:09, a person at the main gate could not be verified against the visitor log.",VP-01,P2,moderate,Unverified identity / potential pretext,Identify,True,observation,main_gate,1.0
INC-000552,2026-01-15T16:18:00,SITE-E,supervisor,"At 16:18, a suspected theft was reported in the main gate.",PR-01,P4,low,Minimal cyber-nexus (asset loss),N/A,False,observation,main_gate,1.0
INC-000404,2026-01-15T17:57:00,SITE-F,account_manager,"At 17:57, documents marked sensitive were found exposed in the administration office.",IF-01,P2,moderate,Sensitive data / PII exposure,Protect,False,observation,administration_office,1.0
INC-000090,2026-01-15T18:40:00,SITE-D,guard,Subject observed moving through a known camera gap near the administration office at 18:40.,SV-02,P2,moderate,Detection-gap exploitation,Detect,False,observation,administration_office,0.75
INC-000601,2026-01-16T01:19:00,SITE-B,guard,Found the it office door propped open with a wedge at 01:19; no personnel present.,AC-02,P1,high,Physical access path bypassing controls,Protect,True,success,it_office,1.0
INC-000602,2026-01-16T03:05:00,SITE-B,guard,Found the it office door propped open with a wedge at 03:05; no personnel present.,AC-02,P1,high,Physical access path bypassing controls,Protect,True,success,it_office,1.0
INC-000184,2026-01-16T05:17:00,SITE-C,guard,Visitor at the cafeteria at 05:17 declined to provide identification and had no record of appointment.,VP-01,P4,moderate,Unverified identity / potential pretext,Identify,False,attempt,cafeteria,1.0
INC-000082,2026-01-16T07:46:00,SITE-B,supervisor,"Individual observed in the parking lot at 07:46, well outside authorized hours.",AC-05,P4,moderate,Anomalous presence outside authorized hours,Detect,False,observation,parking_lot,1.0
INC-000186,2026-01-16T11:14:00,SITE-D,guard,At 11:14 the main lobby gate latch appeared forced and the door was standing open.,AC-02,P1,high,Physical access path bypassing controls,Protect,False,success,main_lobby,1.0
INC-000240,2026-01-16T11:59:00,SITE-F,guard,"At 11:59, a trespasser was noted crossing into the grounds at the rear entrance.",PR-03,P3,low,Perimeter integrity (low cyber-nexus),N/A,True,observation,rear_entrance,1.0
INC-000199,2026-01-16T13:38:00,SITE-D,supervisor,"At 13:38, a subject lingered near the records room, noting access points and staff patterns.",SV-03,P2,moderate,Pre-attack intelligence gathering,Identify,False,observation,records_room,1.0
INC-000293,2026-01-16T16:47:00,SITE-F,guard,"At 16:47, a subject lingered near the main gate, noting access points and staff patterns.",SV-03,P4,moderate,Pre-attack intelligence gathering,Identify,False,observation,main_gate,1.0
INC-000372,2026-01-16T18:06:00,SITE-D,guard,"At 18:06, a caller at the rear entrance pressured the officer to grant access 'just this once,' citing urgency from a senior name.",VP-03,P3,high,Front-line pretexting leading to access or info disclosure,Protect,False,observation,rear_entrance,1.0
INC-000546,2026-01-16T19:02:00,SITE-C,guard,"At 19:02, minor vandalism was noted at the it office.",PR-02,P3,none,No cyber-nexus,N/A,False,observation,it_office,1.0
INC-000262,2026-01-16T21:42:00,SITE-D,guard,Documents containing personal information were found in open trash at the parking lot at 21:42.,IF-02,P4,moderate,Sensitive data / PII disclosure via disposal,Protect,False,observation,parking_lot,1.0
INC-000300,2026-01-16T23:57:00,SITE-G,account_manager,A slip-and-fall was reported in the rear entrance at 23:57; first aid rendered.,PR-04,P3,none,No cyber-nexus (safety event),N/A,True,observation,rear_entrance,1.0
INC-000502,2026-01-17T02:03:00,SITE-A,supervisor,An individual was observed climbing the perimeter fence near the parking lot at 02:03.,PR-03,P3,low,Perimeter integrity (low cyber-nexus),N/A,True,observation,parking_lot,1.0
INC-000545,2026-01-17T04:30:00,SITE-G,guard,An item was reported missing from the server room at 04:30.,PR-01,P2,low,Minimal cyber-nexus (asset loss),N/A,True,observation,server_room,1.0
INC-000445,2026-01-17T04:39:00,SITE-D,guard,At 04:39 the parking lot gate latch appeared forced and the door was standing open.,AC-02,P1,high,Physical access path bypassing controls,Protect,False,success,parking_lot,1.0
INC-000002,2026-01-17T06:14:00,SITE-A,guard,Observed an individual follow a badged person through the rear entrance access door at 06:14 without presenting credentials.,AC-03,P3,high,Credential misuse / cloning / orphaned access,Protect,False,observation,rear_entrance,1.0
INC-000439,2026-01-17T07:22:00,SITE-F,guard,"At 07:22, a cooling failure was noted in the server room.",IN-02,P2,moderate,Availability risk to dependent systems,Protect,False,observation,server_room,1.0
INC-000107,2026-01-17T07:53:00,SITE-D,supervisor,"Individual observed in the server room at 07:53, well outside authorized hours.",AC-05,P2,moderate,Anomalous presence outside authorized hours,Detect,False,observation,server_room,1.0
INC-000385,2026-01-17T08:24:00,SITE-A,guard,Documents containing personal information were found in open trash at the administration office at 08:24.,IF-02,P2,moderate,Sensitive data / PII disclosure via disposal,Protect,False,observation,administration_office,1.0
INC-000408,2026-01-17T09:52:00,SITE-D,account_manager,"At 09:52, a suspected theft was reported in the administration office.",PR-01,P2,low,Minimal cyber-nexus (asset loss),N/A,True,observation,administration_office,1.0
INC-000377,2026-01-17T22:15:00,SITE-B,supervisor,An individual was observed climbing the perimeter fence near the courtyard at 22:15.,PR-03,P4,low,Perimeter integrity (low cyber-nexus),N/A,False,observation,courtyard,1.0
INC-000407,2026-01-18T01:25:00,SITE-B,supervisor,"At 01:25, a caller at the courtyard pressured the officer to grant access 'just this once,' citing urgency from a senior name.",VP-03,P3,high,Front-line pretexting leading to access or info disclosure,Protect,False,observation,courtyard,1.0
INC-000334,2026-01-18T04:48:00,SITE-F,guard,A patch cable in the classroom building was found disconnected at 04:48.,IN-03,P1,high,Network tap / unauthorized connectivity,Detect,False,success,classroom_building,1.0
INC-000126,2026-01-18T20:41:00,SITE-F,supervisor,Individual at main lobby at 20:41 claimed to be an IT vendor but could not produce a work order or company ID.,VP-02,P3,high,Pretext for access to systems or restricted spaces,Protect,False,observation,main_lobby,1.0
INC-000569,2026-01-18T22:10:00,SITE-D,guard,"At 22:10, a suspected theft was reported in the main lobby.",PR-01,P3,low,Minimal cyber-nexus (asset loss),N/A,True,observation,main_lobby,1.0
INC-000277,2026-01-18T23:30:00,SITE-D,guard,"At 23:30, a fire alarm activated in the network closet; area checked and cleared.",PR-04,P3,none,No cyber-nexus (safety event),N/A,False,observation,network_closet,1.0
INC-000038,2026-01-19T04:16:00,SITE-F,supervisor,"At 04:16, a caller at the chapel pressured the officer to grant access 'just this once,' citing urgency from a senior name.",VP-03,P3,high,Front-line pretexting leading to access or info disclosure,Protect,False,observation,chapel,1.0
INC-000102,2026-01-19T05:21:00,SITE-F,supervisor,"At 05:21, a trespasser was noted crossing into the grounds at the rear entrance.",PR-03,P3,low,Perimeter integrity (low cyber-nexus),N/A,True,observation,rear_entrance,1.0
INC-000370,2026-01-19T06:33:00,SITE-C,supervisor,Individual seen repeatedly observing the classroom building entrances and photographing the layout at 06:33.,SV-03,P4,moderate,Pre-attack intelligence gathering,Identify,False,observation,classroom_building,0.86
INC-000225,2026-01-19T13:08:00,SITE-G,guard,"At 13:08, a suspected theft was reported in the server room.",PR-01,P2,low,Minimal cyber-nexus (asset loss),N/A,True,observation,server_room,1.0
INC-000074,2026-01-19T18:01:00,SITE-C,account_manager,"At 18:01, a self-described maintenance contractor sought access to the server room without a verifiable assignment.",VP-02,P1,high,Pretext for access to systems or restricted spaces,Protect,False,observation,server_room,1.0
INC-000049,2026-01-19T19:27:00,SITE-A,guard,"At 19:27, a trespasser was noted crossing into the grounds at the courtyard.",PR-03,P3,low,Perimeter integrity (low cyber-nexus),N/A,True,observation,courtyard,1.0
INC-000316,2026-01-19T21:51:00,SITE-F,guard,An individual was observed climbing the perimeter fence near the parking lot at 21:51.,PR-03,P3,low,Perimeter integrity (low cyber-nexus),N/A,True,observation,parking_lot,1.0
INC-000510,2026-01-20T05:42:00,SITE-B,guard,Access log at network closet showed the same credential used at two separate points within minutes around 05:42.,AC-03,P1,high,Credential misuse / cloning / orphaned access,Protect,False,observation,network_closet,1.0
INC-000162,2026-01-20T12:01:00,SITE-C,account_manager,"At 12:01, an individual repeatedly tried badging at the main gate reader; access denied.",AC-04,P4,moderate,Access attempt indicator,Detect,False,attempt,main_gate,1.0
INC-000129,2026-01-20T14:04:00,SITE-G,guard,Subject at library at 14:04 attempted to talk past the officer using claimed authority and time pressure.,VP-03,P3,high,Front-line pretexting leading to access or info disclosure,Protect,False,attempt,library,1.0
INC-000394,2026-01-20T16:55:00,SITE-G,guard,"At 16:55, minor vandalism was noted at the main gate.",PR-02,P3,none,No cyber-nexus,N/A,True,observation,main_gate,1.0
INC-000141,2026-01-20T23:04:00,SITE-E,guard,A slip-and-fall was reported in the cafeteria at 23:04; first aid rendered.,PR-04,P3,none,No cyber-nexus (safety event),N/A,True,observation,cafeteria,1.0
INC-000508,2026-01-21T01:00:00,SITE-B,supervisor,"Individual observed in the courtyard at 01:00, well outside authorized hours.",AC-05,P4,moderate,Anomalous presence outside authorized hours,Detect,False,observation,courtyard,1.0
INC-000376,2026-01-21T02:10:00,SITE-C,guard,A slip-and-fall was reported in the network closet at 02:10; first aid rendered.,PR-04,P3,none,No cyber-nexus (safety event),N/A,False,observation,network_closet,1.0
INC-000331,2026-01-21T07:13:00,SITE-D,account_manager,"At 07:13, a suspected theft was reported in the network closet.",PR-01,P2,low,Minimal cyber-nexus (asset loss),N/A,True,observation,network_closet,1.0
INC-000033,2026-01-21T18:15:00,SITE-D,guard,Individual at courtyard at 18:15 claimed to be an IT vendor but could not produce a work order or company ID.,VP-02,P3,high,Pretext for access to systems or restricted spaces,Protect,False,observation,courtyard,1.0
INC-000349,2026-01-21T18:46:00,SITE-G,guard,"At 18:46, documents marked sensitive were found exposed in the records room.",IF-01,P2,moderate,Sensitive data / PII exposure,Protect,False,observation,records_room,1.0
INC-000076,2026-01-21T18:50:00,SITE-G,supervisor,"At 18:50, a subject lingered near the main lobby, noting access points and staff patterns.",SV-03,P4,moderate,Pre-attack intelligence gathering,Identify,False,observation,main_lobby,1.0
INC-000253,2026-01-21T20:58:00,SITE-F,account_manager,An individual was observed climbing the perimeter fence near the courtyard at 20:58.,PR-03,P3,low,Perimeter integrity (low cyber-nexus),N/A,True,observation,courtyard,1.0
INC-000298,2026-01-22T02:11:00,SITE-A,supervisor,"At 02:11, a trespasser was noted crossing into the grounds at the rear entrance.",PR-03,P3,low,Perimeter integrity (low cyber-nexus),N/A,True,observation,rear_entrance,1.0
INC-000203,2026-01-22T02:15:00,SITE-A,guard,"At 02:15, a fire alarm activated in the network closet; area checked and cleared.",PR-04,P3,none,No cyber-nexus (safety event),N/A,False,observation,network_closet,1.0
INC-000448,2026-01-22T03:24:00,SITE-C,guard,"At 03:24, a caller at the rear entrance pressured the officer to grant access 'just this once,' citing urgency from a senior name.",VP-03,P3,high,Front-line pretexting leading to access or info disclosure,Protect,False,observation,rear_entrance,1.0
INC-000019,2026-01-22T04:42:00,SITE-G,guard,"At 04:42, a subject was recording the cafeteria entry layout on a phone.",DV-03,P4,moderate,Reconnaissance / information gathering,Detect,False,observation,cafeteria,1.0
INC-000393,2026-01-22T10:45:00,SITE-G,guard,Graffiti was found on the exterior wall near the library at 10:45.,PR-02,P3,none,No cyber-nexus,N/A,True,observation,library,1.0
INC-000213,2026-01-22T13:32:00,SITE-G,guard,Graffiti was found on the exterior wall near the server room at 13:32.,PR-02,P2,none,No cyber-nexus,N/A,True,observation,server_room,1.0
INC-000263,2026-01-22T23:14:00,SITE-E,guard,"At 23:14, a fire alarm activated in the records room; area checked and cleared.",PR-04,P2,none,No cyber-nexus (safety event),N/A,True,observation,records_room,1.0
INC-000379,2026-01-23T03:00:00,SITE-G,guard,An item was reported missing from the main lobby at 03:00.,PR-01,P3,low,Minimal cyber-nexus (asset loss),N/A,True,observation,main_lobby,1.0
INC-000526,2026-01-23T14:10:00,SITE-E,supervisor,"At 14:10, documents marked sensitive were found exposed in the administration office.",IF-01,P2,moderate,Sensitive data / PII exposure,Protect,False,observation,administration_office,1.0
INC-000250,2026-01-23T15:20:00,SITE-B,guard,"At 15:20, a suspected theft was reported in the server room.",PR-01,P2,low,Minimal cyber-nexus (asset loss),N/A,True,observation,server_room,1.0
INC-000229,2026-01-23T22:21:00,SITE-A,supervisor,"At approximately 22:21, a subject entered via the network closet behind an authorized employee and did not badge in.",AC-01,P1,high,Unauthorized physical access to endpoints/credentials,Protect,False,success,network_closet,0.75
INC-000221,2026-01-24T03:03:00,SITE-B,account_manager,"At 03:03, a fire alarm activated in the dormitory entrance; area checked and cleared.",PR-04,P4,none,No cyber-nexus (safety event),N/A,False,observation,dormitory_entrance,1.0
INC-000139,2026-01-24T04:34:00,SITE-C,guard,Visitor at the dormitory entrance at 04:34 declined to provide identification and had no record of appointment.,VP-01,P4,moderate,Unverified identity / potential pretext,Identify,False,attempt,dormitory_entrance,1.0
INC-000271,2026-01-24T14:58:00,SITE-C,guard,"At 14:58, minor vandalism was noted at the main lobby.",PR-02,P4,none,No cyber-nexus,N/A,False,observation,main_lobby,1.0
INC-000532,2026-01-24T18:52:00,SITE-E,account_manager,"At 18:52, a fire alarm activated in the network closet; area checked and cleared.",PR-04,P2,none,No cyber-nexus (safety event),N/A,True,observation,network_closet,1.0
INC-000420,2026-01-24T19:38:00,SITE-D,guard,"At 19:38, a trespasser was noted crossing into the grounds at the rear entrance.",PR-03,P4,low,Perimeter integrity (low cyber-nexus),N/A,False,observation,rear_entrance,1.0
INC-000335,2026-01-24T22:20:00,SITE-B,guard,"At 22:20, a self-described maintenance contractor sought access to the records room without a verifiable assignment.",VP-02,P1,high,Pretext for access to systems or restricted spaces,Protect,False,observation,records_room,1.0
INC-000590,2026-01-25T00:31:00,SITE-A,guard,"At 00:31, a self-described maintenance contractor sought access to the classroom building without a verifiable assignment.",VP-02,P3,high,Pretext for access to systems or restricted spaces,Protect,False,observation,classroom_building,1.0
INC-000171,2026-01-25T01:28:00,SITE-E,guard,A slip-and-fall was reported in the chapel at 01:28; first aid rendered.,PR-04,P3,none,No cyber-nexus (safety event),N/A,True,observation,chapel,1.0
INC-000044,2026-01-25T07:55:00,SITE-E,guard,Subject observed moving through a known camera gap near the library at 07:55.,SV-02,P4,moderate,Detection-gap exploitation,Detect,False,observation,library,0.75
INC-000493,2026-01-25T10:38:00,SITE-A,account_manager,"At 10:38, a self-described maintenance contractor sought access to the main lobby without a verifiable assignment.",VP-02,P3,high,Pretext for access to systems or restricted spaces,Protect,False,observation,main_lobby,1.0
INC-000348,2026-01-25T13:39:00,SITE-F,guard,Graffiti was found on the exterior wall near the administration office at 13:39.,PR-02,P3,none,No cyber-nexus,N/A,False,observation,administration_office,1.0
INC-000254,2026-01-25T14:47:00,SITE-D,guard,"At 14:47, minor vandalism was noted at the courtyard.",PR-02,P4,none,No cyber-nexus,N/A,False,observation,courtyard,1.0
INC-000204,2026-01-25T21:28:00,SITE-E,supervisor,An item was reported missing from the main gate at 21:28.,PR-01,P4,low,Minimal cyber-nexus (asset loss),N/A,False,observation,main_gate,1.0
INC-000147,2026-01-25T21:59:00,SITE-C,guard,An individual was observed climbing the perimeter fence near the rear entrance at 21:59.,PR-03,P3,low,Perimeter integrity (low cyber-nexus),N/A,True,observation,rear_entrance,1.0
INC-000464,2026-01-26T03:26:00,SITE-G,account_manager,"At 03:26, a person at the server room could not be verified against the visitor log.",VP-01,P2,moderate,Unverified identity / potential pretext,Identify,False,observation,server_room,1.0
INC-000362,2026-01-26T08:49:00,SITE-C,guard,Graffiti was found on the exterior wall near the chapel at 08:49.,PR-02,P4,none,No cyber-nexus,N/A,False,observation,chapel,1.0
INC-000486,2026-01-26T09:43:00,SITE-C,guard,"At 09:43, a self-described maintenance contractor sought access to the dormitory entrance without a verifiable assignment.",VP-02,P3,high,Pretext for access to systems or restricted spaces,Protect,False,observation,dormitory_entrance,1.0
INC-000598,2026-01-26T15:05:00,SITE-B,guard,An item was reported missing from the administration office at 15:05.,PR-01,P2,low,Minimal cyber-nexus (asset loss),N/A,True,observation,administration_office,1.0
INC-000492,2026-01-26T18:54:00,SITE-B,guard,"At 18:54, a trespasser was noted crossing into the grounds at the courtyard.",PR-03,P4,low,Perimeter integrity (low cyber-nexus),N/A,False,observation,courtyard,1.0
INC-000061,2026-01-26T23:55:00,SITE-D,guard,Individual seen repeatedly observing the cafeteria entrances and photographing the layout at 23:55.,SV-03,P4,moderate,Pre-attack intelligence gathering,Identify,False,observation,cafeteria,0.86
